old_group	old_target	status	new_group	new_target	profile	mapping	app_file	exclusion_reason
logging	MeshTracker_X1_room_server-logging	built	repeater-room	MeshTracker_X1_room_server	standard		MeshTracker_X1_room_server-v1.17.1.5-halo-keymind-cascade-dev-26303793.uf2	
logging	Mesh_pocket_companion_radio_full-logging	built	companion	Mesh_pocket_companion_radio_full	full		Mesh_pocket_companion_radio_full-v1.17.1.5-halo-keymind-cascade-dev-26303793.uf2	
logging	Mesh_pocket_companion_radio_usb-logging	built	companion	Mesh_pocket_companion_radio_full	full	Mesh_pocket_companion_radio_usb -> Mesh_pocket_companion_radio_full (full_companion)	Mesh_pocket_companion_radio_full-v1.17.1.5-halo-keymind-cascade-dev-26303793.uf2	
logging	Mesh_pocket_repeater-logging	built	repeater-room	Mesh_pocket_repeater	standard		Mesh_pocket_repeater-v1.17.1.5-halo-keymind-cascade-dev-26303793.uf2	
logging	Mesh_pocket_room_server-logging	built	repeater-room	Mesh_pocket_room_server	standard		Mesh_pocket_room_server-v1.17.1.5-halo-keymind-cascade-dev-26303793.uf2	
logging	Meshadventurer_sx1262_companion_radio_usb-logging	built	companion	Meshadventurer_sx1262_companion_radio_full	full	Meshadventurer_sx1262_companion_radio_usb -> Meshadventurer_sx1262_companion_radio_full (full_companion)	Meshadventurer_sx1262_companion_radio_full-v1.17.1.5-halo-keymind-cascade-dev-26303793.bin	
logging	Meshadventurer_sx1262_repeater-logging	built	repeater-room	Meshadventurer_sx1262_repeater	standard		Meshadventurer_sx1262_repeater-v1.17.1.5-halo-keymind-cascade-dev-26303793.bin	
logging	Meshadventurer_sx1262_room_server-logging	built	repeater-room	Meshadventurer_sx1262_room_server	standard		Meshadventurer_sx1262_room_server-v1.17.1.5-halo-keymind-cascade-dev-26303793.bin	
logging	Meshadventurer_sx1262_terminal_chat-logging	built	companion	Meshadventurer_sx1262_companion_radio_full	full	Meshadventurer_sx1262_terminal_chat -> Meshadventurer_sx1262_companion_radio_full (terminal_companion)	Meshadventurer_sx1262_companion_radio_full-v1.17.1.5-halo-keymind-cascade-dev-26303793.bin	
logging	Meshadventurer_sx1268_companion_radio_usb-logging	built	companion	Meshadventurer_sx1268_companion_radio_full	full	Meshadventurer_sx1268_companion_radio_usb -> Meshadventurer_sx1268_companion_radio_full (full_companion)	Meshadventurer_sx1268_companion_radio_full-v1.17.1.5-halo-keymind-cascade-dev-26303793.bin	
logging	Meshadventurer_sx1268_repeater-logging	built	repeater-room	Meshadventurer_sx1268_repeater	standard		Meshadventurer_sx1268_repeater-v1.17.1.5-halo-keymind-cascade-dev-26303793.bin	
logging	Meshadventurer_sx1268_room_server-logging	built	repeater-room	Meshadventurer_sx1268_room_server	standard		Meshadventurer_sx1268_room_server-v1.17.1.5-halo-keymind-cascade-dev-26303793.bin	
logging	Meshadventurer_sx1268_terminal_chat-logging	built	companion	Meshadventurer_sx1268_companion_radio_full	full	Meshadventurer_sx1268_terminal_chat -> Meshadventurer_sx1268_companion_radio_full (terminal_companion)	Meshadventurer_sx1268_companion_radio_full-v1.17.1.5-halo-keymind-cascade-dev-26303793.bin	
logging	Meshimi_repeater_-logging	built	full-profiles	Meshimi_repeater_	full		Meshimi_repeater_-full-logging-ota-v1.17.1.5-halo-keymind-cascade-dev-26303793.bin	
logging	Meshtiny_companion_radio_full-logging	built	companion	Meshtiny_companion_radio_full	full		Meshtiny_companion_radio_full-v1.17.1.5-halo-keymind-cascade-dev-26303793.uf2	
